# renames.tsv — uuid<TAB>corrected_name
# Lines starting with # are ignored.
# DELETE:<uuid> removes the row entirely.

# ── DELETE test item ──────────────────────────────────────────────────────────
DELETE:olit_af2ca050ead74cba9b9a1b4ced4614b2

# ── AMP FORMAT + combined fixes ───────────────────────────────────────────────
olit_74533089f1f9442db8afa2fdb545b70e	200A Main Breaker
pbmat_d8f3022ff45f4a16809f9d67e669655e	15A 125 V Commercial Grade Receptacle

# ── PER FOOT SUFFIX fixes ────────────────────────────────────────────────────
olit_e2775e76a679424a90eeca94b5973c40	Dig Trench In Soft Ground, per ft
olit_d0a9545e36ec40d9a857e71f9cac2d1e	Install Conduit (1.25"-2"), per ft
olit_0d7d90dff5b74cae99548385c1ee2ef4	Install Conduit (1/2"-1"), per ft
olit_3438e149f80d43beb1c86e08e62a567f	Saw Cut Concrete, per ft
olit_1fd6001b351e4bdb9314262d88fc9cc9	Generator Quick Connect Gas Line (Over 15'), per ft
olit_8b1275c7cddf4f9393c3a48a67a83d12	Generator Quick Connect Gas Line (Under 15'), per ft
pbmat_34b7093daa0f4f109455a3ad8fe1b2dc	2/0-2/0-2/0 Aluminum SER Cable, per ft
pbmat_df0abb12c20247cd855b9cbe31f6fc75	2/0-2/0-2/0 Aluminum SER Cable, per ft
olit_c4483bf50f3b4d4794f82cbced8adc88	Install 2/0 SER Service Entrance Cable, per ft
olit_bf2a10f7534f409899cd491baa4d552e	Run New Service Cable Wire Up To 200A/125 (Open Attic), per ft

# ── NOT TITLE CASE fixes ─────────────────────────────────────────────────────
# Service Entrance and Panel
olit_2c1b3a4b7d8c489b9acc9f530b54fc4a	Install Wire Grommets (Up To 4)

# Install category
olit_ea2f7e83c83549d49c9b57f7aaf8e42e	Add Receptacle By Penetrating Outside From Interior Receptacle
olit_fe7641c2c9c34c16bc59d4984441b4ca	Ceiling Fan (Over 12' Ceiling)
olit_732b895747ec4919afd569fd451010c3	Ceiling Fan (Up To 12' Ceiling)
olit_944095cd532c4ef4b81a07ef9ad85130	Hang Flat Panel TV (In-Wall Wiring)
olit_53543cfdb9e14312a6938c93cd31a78e	Hang Flat Panel TV (No Wiring/<55")
olit_aa8d317cd94c4c3aabe2818438a022a2	Hang Flat Panel TV (No Wiring/>55")
olit_b28c9a04204c441faa5a7a81e0d3c4cb	Install Al To CU Pigtails With New Receptacles
olit_7eeff2eae16a4f5b91f443583afa3205	Install Ballast Bypass LED Tubes (Up To 2 Lamps)
olit_473b2718cc434d369d9d745bb9a43882	Install Ballast Bypass LED Tubes (Up To 4 Lamps)
olit_e9fdb4a6b3304e79aff539dad1859f31	Install Dryer Plug
olit_9973b39713184b949eada96017e77ee5	Install EV Car Charger (Stud Cavity Next To Panel)
olit_46e2218fd7fe4c19a566769058601e94	Install New 15/20a Circuit (Up To 50')
olit_47a989535b5d4c37b4d59b75ceee3ad3	Install New 220v 30a Circuit (Up To 10')
olit_e223ca3cf26e45c68c86e5e3826e8d83	Install New 220v 50a Circuit (Next To Panel)
olit_ef13caacfeb043e9ae796c0e87254013	Install New Low Voltage Landscape Lights (Includes Light)
olit_f15c754f321b4f9e964921a7207fa5f2	Quad Receptacle
olit_95f8ba022418454f9d463610b567e7d6	Replace Light Fixture (Owner Provided)
olit_0c293c5e89ee47c6a761e7751ba992bb	Replace Recessed Lighting With Slim Downlights
olit_60a80f4f44fb48d382bfcb0be0e7ed68	Replace Smoke Detector (Up To 12')
